1,NIL,,,,,,,,,,,,PUBLISHER
2,NIL,,,,,,,,,,,,SUPPLIER
3,ALLIED,,,,HYDERABAD,,,,,,,,PUBLISHER
4,Allied Supplier,,,,,,,,,,,,SUPPLIER
5,sudhitha,,"Masijid center,",Mainroad,Kakinada,A.P,India,,0884 2368677,,,,PUBLISHER
6,Chand.S,,Daryaganj,N.Delhi,,,,,,,,,PUBLISHER
7,Jai Prakashnath,,,,Meerut,U.P,India,,,,,,PUBLISHER
8,SUDHITHA,,"Masjid center,College road",Main road,Kakinada,A.P,India,,,,,,SUPPLIER
9,TATA McGRAW HILL,,,,N.DELHI,,,,,,,,PUBLISHER
10,EMESCO,,MASTER,,VIJAWADA,A.P,`,,,,,,PUBLISHER
11,Master motivations,,Master motivations,,Hyderabad,,,,,,,,PUBLISHER
12,TECHMEDIA,,Techmedia,,N.DELHI,,,,,,,,PUBLISHER
13,BOOKS & ALLIED,,,,KOLKATA,,,,,,,,PUBLISHER
14,B.P.B.,,B.P.B.,,N.Delhi,,,,,,,,PUBLISHER
15,Messrs Kasturi & Sons LTD,,"Kasturi Buildings,859&860",,,,,,,,,,PUBLISHER
16,indian academy of sciences,,,,,,,,,,,,PUBLISHER
17,R.C.REDDY PUBLICATIONS,,"NALLAKUNTA,",NEAR APPSC,HYDERABAD,,,,,,,,PUBLISHER
18,GOYAL,,RAMANARAYANA,"807,RAJAJI STREET",MEERUT,,,,,,,,PUBLISHER
19,PRINTICE HALL OF INDIA,,M-97 CONNAUGHT CIRCUS,,N.DELHI,,,,,,,,PUBLISHER
20,PRIENTICE HALL OF INDIA,,M-97,CONNAUGHT CIRCUS,N.DELHI,,,,,,,,PUBLISHER
21,JYOTHI BOOK DEPOT,,BINAYAKA COMPLEX,DABA GARDENS,VISAKHAPATNAM,,,,,,,,SUPPLIER
22,THINK INC,,,,N.DELHI,,,,,,,,PUBLISHER
23,PRAGATHI PRAKASHAN,,,,MEERUT,,,,,,,,PUBLISHER
24,JOHN WILEY,,,,NEWYORK,,,,,,,,PUBLISHER
25,HIMALAYA PUBLISHING HOUSE,,,,HYDERABAD,,,,,,,,PUBLISHER
26,TECHNICAL,,,,GUNTUR,,,,,,,,PUBLISHER
27,S.CHAND,,,,N.DELHI,,,,,,,,PUBLISHER
28,DREAMTECH,,,,N.DELHI,,,,,,,,PUBLISHER
29,AITBS,,,,DELHI,,,,,,,,PUBLISHER
30,PEARSON,,,,N.DELHI,,,,,,,,PUBLISHER
31,VIKRAM,,,,VIJAYAWADA,,,,,,,,PUBLISHER
32,NAROSA,,,,N.DEKHI,,,,,,,,PUBLISHER
33,VIVA,,,,DELHI,,,,,,,,PUBLISHER
34,VIJAY BHAGAT,,,,PATNA,,,,,,,,PUBLISHER
35,RASTOGI,,,,MEERUT,,,,,,,,PUBLISHER
36,SARAS,,,,KANYAKUMARI,,,,,,,,PUBLISHER
37,NARALI,,,,PUNE,,,,,,,,PUBLISHER
38,MARUTHI,,,,HYDERBAD,,,,,,,,PUBLISHER
39,FREEMAN,,,,NEWYORK,,,,,,,,PUBLISHER
40,JAYASAI,,,,GUNTUR,,,,,,,,PUBLISHER
41,KALYANI,,,,HYDERABAD,,,,,,,,PUBLISHER
42,ADITYA,,,,HYDERABAD,,,,,,,,PUBLISHER
43,ARIHANT,,,,MEERUT,,,,,,,,PUBLISHER
44,ANURADHA,,,,KUMBAKONAM,,,,,,,,PUBLISHER
45,BANDLA,,,,HYDERABAD,,,,,,,,PUBLISHER
46,SUDHA,,,,N.DELHI,,,,,,,,PUBLISHER
47,VIKAS,,,,GUNTUR,,,,,,,,PUBLISHER
48,VARLEY,,,,,,,,,,,,PUBLISHER
49,APOLLO,,,,HYDERABAD,,,,,,,,PUBLISHER
50,NEW CENTRAL,,,,KOLKATA,,,,,,,,PUBLISHER
51,JOHN WILLEY,,,,SYDNEY,,,,,,,,PUBLISHER
52,ELECTRONICS FOR YOU,,,,N.DELHI,,,,,,,,PUBLISHER
53,NISCAIR,,,,N.DELHI,,,,,,,,PUBLISHER
54,MTG LEARNING,,,,,,,,,,,,PUBLISHER
55,INDIAN ACADEMY OF SCIENCE,,,,BANGALORE,,,,,,,,PUBLISHER
56,MAYAVATI,,,,CALCUTTA,,,,,,,,PUBLISHER
57,CENTRAL CHINAMAYI MISSION,,,,MUMBAI,,,,,,,,PUBLISHER
58,WORLD,,,,KOLKATA,,,,,,,,PUBLISHER
59,NEW AGE,,,,HYDERABAD,,,,,,,,PUBLISHER
60,DHANPATRAI,,,,,,,,,,,,PUBLISHER
61,DEEPTHI,,,,TENALI,,,,,,,,PUBLISHER
62,VISALANDRA,,,,HYDERABAD,,,,,,,,SUPPLIER
63,PRATHIBHA,,,,HYDERABAD,,,,,,,,PUBLISHER
64,VIKHAYT,,,,HYDERABAD,,,,,,,,PUBLISHER
65,NAVAYUGA,,,,HYDERABAD,,,,,,,,PUBLISHER
66,VISALANDRA,,,,HYDEABAD,,,,,,,,PUBLISHER
67,FOUNDATION,,,,N.DELHI,,,,,,,,PUBLISHER
68,CHURCHILL,,,,OXFORD,,,,,,,,PUBLISHER
69,JONES,,,,LONDON,,,,,,,,PUBLISHER
70,JANATHA,,,,VIJAYAWADA,,,,,,,,PUBLISHER
71,ANDHRA UNIVERSITY,,,,VISAKHAPATNAM,,,,,,,,PUBLISHER
72,J.P,,,,VIJAYAWADA,,,,,,,,PUBLISHER
73,TAGORE,,,,HYDERABAD,,,,,,,,PUBLISHER
74,ROHINI,,,,RAJAHMUNDRY,,,,,,,,PUBLISHER
75,VICTORY,,,,VIJAYAWADA,,,,,,,,PUBLISHER
76,HIMAKAR,,,,RAJAHMUNDRY,,,,,,,,PUBLISHER
77,ALAKANANDA,,,,VIJAYAWADA,,,,,,,,PUBLISHER
78,SAI SARATCHANDRA,,,,HYDERABAD,,,,,,,,PUBLISHER
79,RUSHI,,,,VIJAYAWADA,,,,,,,,PUBLISHER
80,VIJETHA COMPETITIONS,,,,HYDERABAD,,,,,,,,PUBLISHER
81,PUSTAK MAHAL,,,,N.DELHI,,,,,,,,PUBLISHER
82,SWAN,,,,AGRA,,,,,,,,PUBLISHER
83,B.P.B,,,,N.DELHI,,,,,,,,PUBLISHER
84,RAMAKRISHNAMATAM,,,,CHENNAI,,,,,,,,PUBLISHER
85,ADVITHA ASHRAM,,,,KOLKATA,,,,,,,,PUBLISHER
86,SULTAN,,,,N.DELHI,,,,,,,,PUBLISHER
87,TELUGU ACADEMI,,,,HYDERABAD,,,,,,,,PUBLISHER
88,CBS,,,,N.DELHI,,,,,,,,PUBLISHER
89,LIPPINCOTTS,,,,NEWYORK,,,,,,,,PUBLISHER
90,PANKAJ,,,,HYDERABAD,,,,,,,,PUBLISHER
91,MAC MILLAN,,,,HYDERABAD,,,,,,,,PUBLISHER
92,Mc GRAW HILL,,,,LONDON,,,,,,,,PUBLISHER
93,ORIENT LONGMAN,,,,HYDERABAD,,,,,,,,PUBLISHER
94,RUPA,,,,N.DELHI,,,,,,,,PUBLISHER
95,KRISHNA PRAKASHAN,,,,MEERUT,,,,,,,,PUBLISHER
96,GALGOTIA,,,,N.DELHI,,,,,,,,PUBLISHER
97,SURJEET,,,,DELHI,,,,,,,,PUBLISHER
98,NIRJA,,,,DELHI,,,,,,,,PUBLISHER
99,PATRIKA,,,,VIJAYAWADA,,,,,,,,PUBLISHER
100,KHANNA,,,,DELHI,,,,,,,,PUBLISHER
101,ADDISON WESLEY,,,,N.DELHI,,,,,,,,PUBLISHER
102,WORDSWORTH,,,,BRITAN,,,,,,,,PUBLISHER
103,LONGMAN,,,,CHENNAI,,,,,,,,PUBLISHER
104,OXFORD,,,,,,NEW DELHI,,,,,,PUBLISHER
105,PANIMA,,,,N.DELHI,,,,,,,,PUBLISHER
106,BHARATHI BHAVAN,,,,PATNA,,,,,,,,PUBLISHER
107,SATYA PRAKASH,,,,N.DELHI,,,,,,,,PUBLISHER
108,ASIA TECH,,,,,,NEW DELHI,,,,,,PUBLISHER
109,EDUCATIONAL,,,,,,NEW DELHI,,,,,,PUBLISHER
110,D.BOSE,,,,HYDRABAD,,,,,,,,PUBLISHER
111,CAMBRIDGE,,,,,,NEW DELHI,,,,,,PUBLISHER
112,PENRAM INTERNATIONAL,,"8 HAPPY HOUSE, G.K.ROAD,",DADAR,MUMBAI,,,,,,,,PUBLISHER
113,BOOK SYNDICATE,,,,CALCUTTA,,,,,,,,PUBLISHER
114,TECH MEDIA,,,,NEW DELHI,,,,,,,,PUBLISHER
115,HPH,,,,,,,,,,,,PUBLISHER
116,AS PRAKASHAN,,,,MEERUT,,,,,,,,PUBLISHER
117,ASPRAKASHAN,,,,MEERUIT,,,,,,,,PUBLISHER
118,BPB,,,,NEW DELHI,,,,,,,,PUBLISHER
119,A.S PRAKASHAN,,,,,,,,,,,,PUBLISHER
120,ANMOL,,,,,,,,,,,,PUBLISHER
121,SURE,,,,,,,,,,,,PUBLISHER
122,PHI,,,,,,,,,,,,PUBLISHER
123,POCKET,,,,,,,,,,,,PUBLISHER
124,SULTAN CHAND,,,,,,,,,,,,PUBLISHER
125,VERMILION,,,,LONDON,,,,,,,,PUBLISHER
126,HARPER COLLINS,,,,BSITON,,,,,,,,PUBLISHER
127,JAICO,,,,HYDERABAD,,,,,,,,PUBLISHER
128,PENGUIN,,,,NEW DELHI,,,,,,,,PUBLISHER
129,LONGMAN CORP,,,,,,,,,,,,PUBLISHER
130,EAST-WEST,,,,N.DELHI,,,,,,,,PUBLISHER
131,RAVINDRA,,,,GUNTUR,,,,,,,,PUBLISHER
132,UBS,,,,,,,,,,,,PUBLISHER
133,UBSPD,,,,NEWDELHI,,,,,,,,PUBLISHER
134,WISWA,,,,,,,,,,,,PUBLISHER
